00000,03243
01298,47890
02984,79874
09384,38294
09847,30498
10239,56348
11111,29387
34758,12987
34892,57289
34958,12380
35203,91286
35654,82582
37354,35994
39847,48903
43891,54209
44444,98374
35304,99234
35465,57974
35495,35965
45632,97232
87987,65463
11268,43544
11309,78934
12098,23987
12308,48390
12339,25892
12394,65775
12409,34571
12457,46534
13845,23958
15935,45633
19185,75654
19195,46576
19235,59634
19857,55765
19988,22555
20023,02398
20394,61203
20398,02467
20485,58920
22222,34589
22296,53654
22349,52098
22577,46462
22589,41335
22867,16575
23098,98798
48446,27925
48463,33855
48798,23208
48902,42039
49224,46987
82200,19877
87364,47894
23465,60094
23480,43201
23495,34570
23579,44628
23597,34509
23874,34799
24023,09182
25839,11237
25968,56488
29487,34875
33333,30985
33564,45921
33733,49455
34685,30498
88888,16543
90832,08374
93751,23957
94324,32792
94357,53156
94651,22596
94855,98711
95432,19346
95622,45637
98372,45692
98432,15945
98462,45358
98698,98798
98754,97899
98798,55006
99533,65488
99842,45266
99999,65435
50928,23987
54655,65466
55555,98679
56476,28739
57283,34987
57652,63527
58905,53098
62895,42903
64912,22546
65499,54561
65945,45333
66666,29803
68590,52309
77777,45881

